#FILE:http://www.reuters.com//article/2015/06/19/us-citigroup-europe-retail-idUSKBN0OZ12W20150619
#Vertices 332
#Arcs 314
#MaxPath 12
#LeafN 107
Rank	Count	Synset
0	6	abstraction.n.06
1	6	act.n.02
2	6	activity.n.01
3	6	person.n.01
4	4	physical_entity.n.01
5	4	object.n.01
6	4	attribute.n.02
7	4	communication.n.02
8	3	location.n.01
9	3	region.n.03
10	3	psychological_feature.n.01
11	3	event.n.01
12	3	happening.n.01
13	3	whole.n.02
14	3	artifact.n.01
15	3	group_action.n.01
16	3	state.n.02
17	3	instrumentality.n.03
18	3	measure.n.02
19	3	organization.n.01
20	3	creation.n.02
21	2	entity.n.01
22	2	seat.n.05
23	2	national_capital.n.01
24	2	administrative_district.n.01
25	2	commerce.n.01
26	2	social_control.n.01
27	2	geographic_point.n.01
28	2	possession.n.02
29	2	payment.n.01
30	2	assets.n.01
31	2	group.n.01
32	2	thing.n.12
33	2	body_part.n.01
34	2	property.n.02
35	2	unit.n.03
36	2	cognition.n.01
37	2	action.n.01
38	2	change.v.01
39	2	idea.n.01
40	2	message.n.02
41	2	information.n.01
42	2	article.n.01
43	1	area.n.01
44	1	center.n.01
45	1	capital.n.03
46	1	district.n.01
47	1	municipality.n.01
48	1	city.n.01
49	1	geographical_area.n.01
50	1	urban_area.n.01
51	1	preparation.n.01
52	1	movement.n.03
53	1	change_of_location.n.01
54	1	translation.n.02
55	1	structure.n.01
56	1	establishment.n.04
57	1	place_of_business.n.01
58	1	office.n.01
59	1	causal_agent.n.01
60	1	inhabitant.n.01
61	1	living_thing.n.01
62	1	organism.n.01
63	1	transaction.n.01
64	1	selling.n.01
65	1	management.n.01
66	1	finance.n.03
67	1	action.n.02
68	1	point.n.02
69	1	port.n.01
70	1	relation.n.01
71	1	transferred_property.n.01
72	1	outgo.n.01
73	1	cost.n.01
74	1	furnishing.n.02
75	1	furniture.n.01
76	1	bedroom_furniture.n.01
77	1	bed.n.01
78	1	berth.n.03
79	1	recompense.n.01
80	1	compensation.n.01
81	1	reimbursement.n.01
82	1	capital.n.01
83	1	fundamental_quantity.n.01
84	1	time_period.n.01
85	1	geological_formation.n.01
86	1	slope.n.01
87	1	make.v.03
88	1	create_verbally.v.01
89	1	case.n.06
90	1	being.n.01
91	1	possibility.n.02
92	1	opportunity.n.01
93	1	system.n.02
94	1	economy.n.01
95	1	non-market_economy.n.01
96	1	managed_economy.n.01
97	1	socialism.n.02
98	1	control.v.01
99	1	manage.v.02
100	1	direct.v.04
101	1	part.n.03
