#FILE:http://www.reuters.com//article/2015/06/19/us-eurozone-greece-pm-idUSKBN0OZ0DP20150619
#Vertices 844
#Arcs 803
#MaxPath 15
#LeafN 357
Rank	Count	Synset
0	22	person.n.01
1	10	act.n.02
2	9	activity.n.01
3	8	communication.n.02
4	8	state.n.02
5	8	artifact.n.01
6	8	happening.n.01
7	7	measure.n.02
8	7	time_period.n.01
9	6	abstraction.n.06
10	6	group_action.n.01
11	6	assets.n.01
12	5	physical_entity.n.01
13	5	organization.n.01
14	5	attribute.n.02
15	5	act.v.01
16	4	object.n.01
17	4	event.n.01
18	4	condition.n.01
19	4	leader.n.01
20	4	substance.n.01
21	4	concept.n.01
22	4	message.n.02
23	4	speech_act.n.01
24	4	quality.n.01
25	4	writing.n.02
26	3	location.n.01
27	3	region.n.03
28	3	national_capital.n.01
29	3	whole.n.02
30	3	organism.n.01
31	3	action.n.01
32	3	point.n.02
33	3	group.n.01
34	3	social_group.n.01
35	3	unit.n.03
36	3	feeling.n.01
37	3	inform.v.01
38	3	time.n.05
39	3	instrumentality.n.03
40	3	be.v.01
41	3	cognition.n.01
42	3	content.n.05
43	3	country.n.02
44	3	digit.n.01
45	3	creation.n.02
46	3	relation.n.01
47	3	status.n.01
48	3	thing.n.12
49	3	statement.n.01
50	3	possession.n.02
51	3	change.n.03
52	3	change.v.02
53	3	natural_phenomenon.n.01
54	3	region.n.01
55	3	skilled_worker.n.01
56	3	formation.n.01
57	3	information.n.01
58	2	entity.n.01
59	2	area.n.01
60	2	administrative_district.n.01
61	2	definite_quantity.n.01
62	2	number.n.02
63	2	integer.n.01
64	2	large_integer.n.01
65	2	causal_agent.n.01
66	2	biologist.n.01
67	2	psychological_feature.n.01
68	2	travel.v.01
69	2	psychological_state.n.01
70	2	cognitive_state.n.01
71	2	workplace.n.01
72	2	geological_formation.n.01
73	2	transaction.n.01
74	2	auditory_communication.n.01
75	2	speech.n.02
76	2	idea.n.01
77	2	european_country.n.01
78	2	matter.n.03
