#FILE:http://www.reuters.com//article/2015/06/19/us-eurozone-greece-steps-factbox-idUSKBN0OZ0Q920150619?mod=related&amp;channelName=ousivMolt
#Vertices 626
#Arcs 583
#MaxPath 14
#LeafN 255
Rank	Count	Synset
0	13	person.n.01
1	9	activity.n.01
2	8	act.n.02
3	7	state.n.02
4	7	communication.n.02
5	6	abstraction.n.06
6	6	measure.n.02
7	5	physical_entity.n.01
8	5	group.n.01
9	5	assets.n.01
10	5	happening.n.01
11	5	message.n.02
12	5	quality.n.01
13	5	instrumentality.n.03
14	4	object.n.01
15	4	group_action.n.01
16	4	attribute.n.02
17	4	social_group.n.01
18	4	organization.n.01
19	4	whole.n.02
20	4	act.v.01
21	4	artifact.n.01
22	3	location.n.01
23	3	region.n.03
24	3	administrative_district.n.01
25	3	event.n.01
26	3	time_period.n.01
27	3	gregorian_calendar_month.n.01
28	3	relation.n.01
29	3	possession.n.02
30	3	property.n.02
31	3	speech_act.n.01
32	3	process.n.06
33	3	natural_phenomenon.n.01
34	3	substance.n.01
35	3	administrative_unit.n.01
36	3	change.v.01
37	3	physical_phenomenon.n.01
38	3	creation.n.02
39	3	digit.n.01
40	2	entity.n.01
41	2	national_capital.n.01
42	2	psychological_feature.n.01
43	2	definite_quantity.n.01
44	2	integer.n.01
45	2	transaction.n.01
46	2	commerce.n.01
47	2	medium_of_exchange.n.01
48	2	get.v.01
49	2	action.n.01
50	2	point.n.02
51	2	change_magnitude.v.01
52	2	increase.v.01
53	2	be.v.01
54	2	capitalist.n.02
55	2	evaluate.v.02
56	2	compel.v.01
57	2	ending.n.04
58	2	worker.n.01
59	2	skilled_worker.n.01
60	2	liabilities.n.01
61	2	workplace.n.01
62	2	communicate.v.02
63	2	publication.n.01
64	2	chemical_phenomenon.n.01
65	2	telecommunication.n.01
66	2	natural_process.n.01
67	2	indefinite_quantity.n.01
68	2	serviceman.n.01
69	2	cognition.n.01
70	2	concept.n.01
71	2	transfer.v.05
72	2	give.v.03
73	2	asset.n.01
74	2	rate.v.01
75	2	condition.n.01
76	2	regular_payment.n.01
77	2	thing.n.12
78	2	body_part.n.01
79	2	external_body_part.n.01
80	2	decrease.v.01
81	2	writing.n.02
82	2	information.n.01
83	2	article.n.01
84	1	area.n.01
85	1	center.n.01
86	1	seat.n.05
87	1	capital.n.03
88	1	district.n.01
89	1	municipality.n.01
90	1	city.n.01
91	1	geographical_area.n.01
92	1	urban_area.n.01
93	1	country.n.02
94	1	european_country.n.01
95	1	balkan_country.n.01
96	1	express.v.02
97	1	nonattendance.n.01
98	1	absence.n.02
99	1	nonaccomplishment.n.01
100	1	failure.n.01
101	1	loss.n.03
102	1	number.n.02
103	1	large_integer.n.01
104	1	unit_of_measurement.n.01
105	1	monetary_unit.n.01
106	1	obligation.n.02
107	1	indebtedness.n.01
108	1	payment.n.02
109	1	system.n.02
110	1	economy.n.01
111	1	non-market_economy.n.01
112	1	managed_economy.n.01
113	1	socialism.n.02
114	1	system_of_measurement.n.01
115	1	standard.n.01
116	1	money.n.01
117	1	fund.n.01
118	1	fundamental_quantity.n.01
119	1	calendar_month.n.01
120	1	choice.n.02
121	1	decision.n.01
122	1	collection.n.01
123	1	arrangement.n.02
124	1	ordering.n.01
125	1	series.n.01
126	1	strength.n.01
