#FILE:http://www.reuters.com//article/2015/06/18/us-usa-shooting-south-carolina-roof-idUSKBN0OY28220150618
#Vertices 750
#Arcs 692
#MaxPath 13
#LeafN 309
Rank	Count	Synset
0	15	person.n.01
1	10	activity.n.01
2	9	act.n.02
3	8	artifact.n.01
4	7	communication.n.02
5	6	abstraction.n.06
6	6	instrumentality.n.03
7	5	physical_entity.n.01
8	5	measure.n.02
9	5	time_period.n.01
10	5	property.n.02
11	4	object.n.01
12	4	cognition.n.01
13	4	state.n.02
14	4	condition.n.01
15	4	event.n.01
16	4	organization.n.01
17	4	message.n.02
18	4	happening.n.01
19	3	whole.n.02
20	3	content.n.05
21	3	relation.n.01
22	3	attribute.n.02
23	3	digit.n.01
24	3	group.n.01
25	3	location.n.01
26	3	unit.n.03
27	3	quality.n.01
28	3	make.v.03
29	3	act.v.01
30	3	communicate.v.02
31	3	matter.n.03
32	3	speech_act.n.01
33	3	concept.n.01
34	3	creation.n.02
35	3	writing.n.02
36	3	travel.v.01
37	3	change.v.01
38	3	region.n.01
39	3	information.n.01
40	3	change.v.02
41	3	move.v.02
42	3	natural_object.n.01
43	2	entity.n.01
44	2	causal_agent.n.01
45	2	relative.n.01
46	2	organism.n.01
47	2	structure.n.01
48	2	psychological_feature.n.01
49	2	possession.n.02
50	2	psychological_state.n.01
51	2	control.n.05
52	2	calendar_day.n.01
53	2	adult.n.01
54	2	day_of_the_week.n.01
55	2	idea.n.01
56	2	definite_quantity.n.01
57	2	social_group.n.01
58	2	institution.n.01
59	2	region.n.03
60	2	geographical_area.n.01
61	2	administrative_unit.n.01
62	2	morality.n.01
63	2	work.n.01
64	2	feeling.n.01
65	2	higher_cognitive_process.n.01
66	2	covering.n.02
67	2	inform.v.01
68	2	action.n.01
69	2	change.n.03
70	2	motion.n.06
71	2	worker.n.01
72	2	scientist.n.01
73	2	document.n.01
74	2	legal_document.n.01
75	2	be.v.01
76	2	indefinite_quantity.n.01
77	2	equipment.n.01
78	2	natural_elevation.n.01
79	2	point.n.02
80	2	conveyance.n.03
81	2	social_event.n.01
82	2	point.n.06
83	2	signal.n.01
84	2	telecommunication.n.01
85	2	auditory_communication.n.01
86	2	give.v.03
87	2	motion.n.03
88	2	thing.n.12
89	2	container.n.01
90	2	part.n.03
91	2	part.n.01
92	2	accomplishment.n.01
