#FILE:http://www.reuters.com//article/2015/06/19/us-alibaba-cloud-idUSKBN0OY2TC20150619
#Vertices 566
#Arcs 532
#MaxPath 14
#LeafN 235
Rank	Count	Synset
0	12	person.n.01
1	9	activity.n.01
2	8	act.n.02
3	6	abstraction.n.06
4	6	artifact.n.01
5	5	physical_entity.n.01
6	5	group.n.01
7	5	measure.n.02
8	5	state.n.02
9	5	communication.n.02
10	5	assets.n.01
11	4	event.n.01
12	4	process.n.06
13	4	attribute.n.02
14	4	location.n.01
15	4	organization.n.01
16	4	relation.n.01
17	4	instrumentality.n.03
18	4	creation.n.02
19	3	whole.n.02
20	3	cognition.n.01
21	3	content.n.05
22	3	situation.n.01
23	3	time_period.n.01
24	3	geographic_point.n.01
25	3	region.n.03
26	3	administrative_district.n.01
27	3	city.n.01
28	3	property.n.02
29	3	message.n.02
30	3	substance.n.01
31	3	change.v.02
32	3	structure.n.01
33	3	happening.n.01
34	2	entity.n.01
35	2	object.n.01
36	2	organism.n.01
37	2	psychological_feature.n.01
38	2	natural_phenomenon.n.01
39	2	discipline.n.01
40	2	definite_quantity.n.01
41	2	number.n.02
42	2	integer.n.01
43	2	group_action.n.01
44	2	transaction.n.01
45	2	social_group.n.01
46	2	occupation.n.01
47	2	written_communication.n.01
48	2	writing.n.02
49	2	legal_document.n.01
50	2	thing.n.12
51	2	natural_object.n.01
52	2	matter.n.03
53	2	representation.n.02
54	2	condition.n.01
55	2	psychological_state.n.01
56	2	worker.n.01
57	2	indefinite_quantity.n.01
58	2	body.n.02
59	2	business.n.01
60	2	line.n.11
61	2	communicator.n.01
62	2	leader.n.01
63	2	use.n.01
64	2	quality.n.01
65	2	substance.n.07
66	2	collection.n.01
67	2	commerce.n.01
68	2	think.v.03
69	2	large_integer.n.01
70	2	sum.n.01
71	2	gregorian_calendar_month.n.01
72	2	change_magnitude.v.01
73	2	work.n.01
74	2	communicate.v.02
75	2	workplace.n.01
76	2	magnitude.n.01
77	2	small_indefinite_quantity.n.01
78	2	sound.n.04
79	2	change.v.01
80	2	organic_compound.n.01
81	2	chemical_phenomenon.n.01
82	2	administrator.n.01
83	2	region.n.01
84	2	concept.n.01
85	2	speech_act.n.01
86	2	unit.n.03
87	2	information.n.01
88	2	article.n.01
89	1	living_thing.n.01
90	1	animal.n.01
91	1	control.n.05
92	1	possession.n.01
93	1	retention.n.01
94	1	causal_agent.n.01
95	1	unfortunate.n.01
96	1	failure.n.04
97	1	phenomenon.n.01
98	1	physical_phenomenon.n.01
99	1	knowledge_domain.n.01
100	1	engineering.n.02
101	1	digit.n.01
102	1	fundamental_quantity.n.01
103	1	gain.v.05
104	1	juvenile.n.01
105	1	point.n.02
106	1	port.n.01
107	1	district.n.01
108	1	municipality.n.01
109	1	geographical_area.n.01
110	1	urban_area.n.01
111	1	bodily_property.n.01
112	1	area.n.01
113	1	center.n.01
114	1	transfer.v.05
115	1	give.v.03
116	1	supply.v.01
117	1	polity.n.02
118	1	employment.n.02
119	1	document.n.01
120	1	statement.n.01
121	1	agreement.n.01
122	1	written_agreement.n.01
123	1	part.n.03
124	1	body_part.n.01
125	1	part.n.01
126	1	organic_process.n.01
127	1	container.n.01
128	1	case.n.05
129	1	country.n.02
130	1	asian_country.n.01
131	1	body_substance.n.01
132	1	liquid_body_substance.n.01
133	1	stage_set.n.01
134	1	scenery.n.01
135	1	development.n.02
136	1	mental_illness.n.01
137	1	psychosis.n.01
138	1	servant.n.01
139	1	union.n.04
140	1	coalition.n.02
141	1	system_of_measurement.n.01
142	1	standard.n.01
143	1	education.n.02
144	1	social_event.n.01
145	1	contest.n.01
146	1	race.n.01
147	1	opposition.n.05
148	1	enterprise.n.02
149	1	firm.n.01
150	1	writing.n.04
151	1	coding_system.n.01
152	1	code.n.03
153	1	software.n.01
154	1	program.n.07
155	1	search_engine.n.01
156	1	multitude.n.03
157	1	path.n.03
158	1	direction.n.01
159	1	take.v.04
