#FILE:http://www.reuters.com//article/2015/06/18/us-usa-south-carolina-shooting-victims-idUSKBN0OY2U620150618?mod=related&amp;channelName=domesticNews
#Vertices 597
#Arcs 562
#MaxPath 14
#LeafN 233
Rank	Count	Synset
0	21	person.n.01
1	8	communication.n.02
2	8	activity.n.01
3	6	abstraction.n.06
4	6	act.n.02
5	5	physical_entity.n.01
6	5	measure.n.02
7	5	property.n.02
8	5	geographical_area.n.01
9	5	organization.n.01
10	5	digit.n.01
11	5	leader.n.01
12	5	relative.n.01
13	5	instrumentality.n.03
14	4	location.n.01
15	4	state.n.02
16	4	artifact.n.01
17	4	group.n.01
18	4	change.v.02
19	4	message.n.02
20	3	whole.n.02
21	3	attribute.n.02
22	3	event.n.01
23	3	region.n.03
24	3	content.n.05
25	3	social_group.n.01
26	3	adult.n.01
27	3	administrative_district.n.01
28	3	city.n.01
29	3	writing.n.02
30	3	change_state.v.01
31	3	structure.n.01
32	3	creation.n.02
33	3	writer.n.01
34	2	entity.n.01
35	2	object.n.01
36	2	organism.n.01
37	2	fundamental_quantity.n.01
38	2	psychological_feature.n.01
39	2	connect.v.01
40	2	cognition.n.01
41	2	institution.n.01
42	2	definite_quantity.n.01
43	2	female.n.02
44	2	force.n.04
45	2	religious_person.n.01
46	2	worker.n.01
47	2	professional.n.01
48	2	clergyman.n.01
49	2	animal.n.01
50	2	administrative_unit.n.01
51	2	associate.n.01
52	2	matter.n.03
53	2	speech_act.n.01
54	2	time_period.n.01
55	2	status.n.01
56	2	make.v.03
57	2	change.v.01
58	2	happening.n.01
59	2	communicator.n.01
60	2	expert.n.01
61	2	building.n.01
62	2	match.v.01
63	2	relation.n.01
64	2	group_action.n.01
65	2	thing.n.12
66	2	representation.n.02
67	2	parent.n.01
68	2	day_of_the_week.n.01
69	2	natural_phenomenon.n.01
70	2	device.n.01
71	2	diversion.n.01
72	2	visual_communication.n.01
73	2	basic_cognitive_process.n.01
74	2	occupation.n.01
75	2	profession.n.02
76	2	publication.n.01
77	2	action.n.01
78	2	people.n.01
79	2	region.n.01
80	2	information.n.01
81	2	article.n.01
82	2	assets.n.01
83	1	causal_agent.n.01
84	1	unfortunate.n.01
85	1	living_thing.n.01
86	1	physical_property.n.01
87	1	propulsion.n.02
88	1	join.v.04
89	1	attach.v.03
90	1	being.n.01
91	1	belief.n.01
92	1	quality.n.01
93	1	morality.n.01
94	1	good.n.02
95	1	virtue.n.04
96	1	cardinal_virtue.n.01
97	1	theological_virtue.n.01
98	1	point.n.06
99	1	end.n.02
100	1	facility.n.01
101	1	course.n.09
102	1	golf_course.n.01
103	1	religion.n.02
104	1	number.n.02
105	1	integer.n.01
106	1	christian.n.01
107	1	protestant.n.01
108	1	methodist.n.01
109	1	degree.n.01
110	1	educational_institution.n.01
111	1	line.n.11
112	1	tract.n.01
113	1	district.n.01
114	1	municipality.n.01
115	1	urban_area.n.01
116	1	employee.n.01
117	1	workman.n.01
118	1	laborer.n.01
119	1	hired_hand.n.01
120	1	ranch_hand.n.01
121	1	use.v.01
122	1	lawgiver.n.01
123	1	legislator.n.01
124	1	politician.n.01
125	1	spiritual_leader.n.01
126	1	preacher.n.01
127	1	sound_property.n.01
128	1	sound.n.01
129	1	control.v.01
130	1	dominate.v.03
131	1	written_communication.n.01
132	1	sacred_text.n.01
133	1	work.n.01
