#FILE:http://www.reuters.com//article/2015/06/19/us-usa-election-clinton-idUSKBN0OZ02H20150619
#Vertices 460
#Arcs 432
#MaxPath 13
#LeafN 163
Rank	Count	Synset
0	10	person.n.01
1	7	activity.n.01
2	6	abstraction.n.06
3	5	physical_entity.n.01
4	5	act.n.02
5	5	message.n.02
6	4	location.n.01
7	4	measure.n.02
8	4	artifact.n.01
9	4	event.n.01
10	4	group_action.n.01
11	4	social_group.n.01
12	4	work.n.01
13	4	state.n.02
14	4	communication.n.02
15	4	leader.n.01
16	4	happening.n.01
17	4	assets.n.01
18	3	whole.n.02
19	3	time_period.n.01
20	3	organization.n.01
21	3	attribute.n.02
22	3	condition.n.01
23	3	possession.n.02
24	3	creation.n.02
25	3	writing.n.02
26	2	entity.n.01
27	2	object.n.01
28	2	region.n.03
29	2	administrative_district.n.01
30	2	american_state.n.01
31	2	communicate.v.02
32	2	psychological_feature.n.01
33	2	social_control.n.01
34	2	group.n.01
35	2	relation.n.01
36	2	part.n.01
37	2	declare.v.01
38	2	transaction.n.01
39	2	serviceman.n.01
40	2	point.n.02
41	2	cognition.n.01
42	2	content.n.05
43	2	expressive_style.n.01
44	2	body_part.n.01
45	2	substance.n.01
46	2	head.n.04
47	2	higher_cognitive_process.n.01
48	2	action.n.01
49	2	publication.n.01
50	2	asian_country.n.01
51	2	speech_act.n.01
52	2	change.v.01
53	2	liabilities.n.01
54	2	instrumentality.n.03
55	2	information.n.01
56	2	article.n.01
57	1	district.n.01
58	1	state.n.01
59	1	causal_agent.n.01
60	1	adventurer.n.01
61	1	mountaineer.n.01
62	1	living_thing.n.01
63	1	organism.n.01
64	1	contestant.n.01
65	1	athlete.n.01
66	1	climber.n.04
67	1	express.v.02
68	1	state.v.01
69	1	fundamental_quantity.n.01
70	1	calendar_day.n.01
71	1	day_of_the_week.n.01
72	1	weekday.n.01
73	1	act.v.01
74	1	interact.v.01
75	1	talk.v.01
76	1	converse.v.01
77	1	argue.v.02
78	1	covering.n.02
79	1	cloth_covering.n.01
80	1	bedclothes.n.01
81	1	force.n.04
82	1	care.n.01
83	1	know.v.01
84	1	adult.n.01
85	1	professional.n.01
86	1	health_professional.n.01
87	1	medical_practitioner.n.01
88	1	doctor.n.01
89	1	status.n.01
90	1	rank.n.02
91	1	first.n.01
92	1	language_unit.n.01
93	1	word.n.01
94	1	statement.n.01
95	1	social_event.n.01
96	1	contest.n.01
97	1	race.n.01
98	1	line.n.11
99	1	path.n.04
100	1	lawgiver.n.01
101	1	legislator.n.01
102	1	senator.n.01
103	1	politician.n.01
104	1	promise.v.01
105	1	pledge.v.01
106	1	ending.n.04
107	1	victory.n.01
108	1	success.n.01
109	1	quality.n.01
110	1	good.n.03
111	1	prevent.v.02
112	1	defend.v.02
113	1	resource.n.01
114	1	worker.n.01
115	1	skilled_worker.n.01
116	1	military_action.n.01
117	1	position.n.01
118	1	enlisted_person.n.01
119	1	enlisted_man.n.01
120	1	knowledge_domain.n.01
121	1	discipline.n.01
122	1	science.n.01
123	1	natural_science.n.01
124	1	life_science.n.01
125	1	medical_science.n.01
126	1	unit.n.03
127	1	administrative_unit.n.01
128	1	division.n.04
129	1	skillfulness.n.01
130	1	manner_of_speaking.n.01
131	1	prosody.n.01
132	1	thing.n.12
133	1	part.n.03
134	1	structure.n.04
135	1	neural_structure.n.01
136	1	physical_condition.n.01
137	1	pathological_state.n.01
138	1	ill_health.n.01
139	1	get.v.01
140	1	obtain.v.01
141	1	source.v.01
142	1	belief.n.01
143	1	supernaturalism.n.01
144	1	matter.n.03
145	1	mixture.n.01
146	1	movement.n.04
147	1	political_movement.n.01
148	1	terrorist_organization.n.01
149	1	body_substance.n.01
150	1	liquid_body_substance.n.01
151	1	duty.n.02
152	1	condition.n.03
153	1	fortune.n.04
154	1	good_fortune.n.01
