#FILE:http://www.reuters.com//article/2015/06/17/us-europe-migrants-border-idUSKBN0OW14Y20150617
#Vertices 536
#Arcs 500
#MaxPath 14
#LeafN 203
Rank	Count	Synset
0	10	activity.n.01
1	9	act.n.02
2	8	artifact.n.01
3	7	person.n.01
4	6	abstraction.n.06
5	6	instrumentality.n.03
6	5	physical_entity.n.01
7	5	organization.n.01
8	5	measure.n.02
9	5	time_period.n.01
10	5	communication.n.02
11	4	object.n.01
12	4	european_country.n.01
13	4	whole.n.02
14	4	change.v.02
15	4	state.n.02
16	3	location.n.01
17	3	region.n.03
18	3	social_group.n.01
19	3	event.n.01
20	3	group_action.n.01
21	3	structure.n.01
22	3	region.n.01
23	3	geographical_area.n.01
24	3	action.n.01
25	3	change.n.03
26	3	motion.n.06
27	3	attribute.n.02
28	3	digit.n.01
29	3	act.v.01
30	3	thing.n.12
31	3	body_part.n.01
32	3	writing.n.02
33	3	assets.n.01
34	3	information.n.01
35	3	creation.n.02
36	2	entity.n.01
37	2	district.n.01
38	2	administrative_district.n.01
39	2	group.n.01
40	2	unit.n.03
41	2	weekday.n.01
42	2	psychological_feature.n.01
43	2	transaction.n.01
44	2	commercial_enterprise.n.02
45	2	african.n.01
46	2	extremity.n.04
47	2	national_capital.n.01
48	2	municipality.n.01
49	2	matter.n.03
50	2	cognition.n.01
51	2	content.n.05
52	2	idea.n.01
53	2	large_indefinite_quantity.n.01
54	2	process.n.06
55	2	definite_quantity.n.01
56	2	integer.n.01
57	2	be.v.01
58	2	stroke.n.01
59	2	relation.n.01
60	2	happening.n.01
61	2	conveyance.n.03
62	2	skilled_worker.n.01
63	2	large_integer.n.01
64	2	natural_object.n.01
65	2	point.n.06
66	2	indo-european.n.02
67	2	accomplishment.n.01
68	2	possession.n.02
69	2	phenomenon.n.01
70	2	message.n.02
71	2	article.n.01
72	1	country.n.02
73	1	force.n.04
74	1	administrative_unit.n.01
75	1	agency.n.01
76	1	law_enforcement_agency.n.01
77	1	fundamental_quantity.n.01
78	1	calendar_day.n.01
79	1	day_of_the_week.n.01
80	1	commerce.n.01
81	1	transportation.n.05
82	1	causal_agent.n.01
83	1	living_thing.n.01
84	1	organism.n.01
85	1	traveler.n.01
86	1	implementation.n.02
87	1	means.n.01
88	1	expedient.n.01
89	1	housing.n.01
90	1	living_quarters.n.01
