#FILE:http://www.reuters.com//article/2015/06/19/us-markets-stocks-idUSKBN0OZ16A20150619
#Vertices 616
#Arcs 604
#MaxPath 14
#LeafN 225
Rank	Count	Synset
0	19	person.n.01
1	8	activity.n.01
2	7	measure.n.02
3	7	communication.n.02
4	7	act.n.02
5	6	abstraction.n.06
6	6	happening.n.01
7	5	physical_entity.n.01
8	5	artifact.n.01
9	5	instrumentality.n.03
10	5	concept.n.01
11	5	attribute.n.02
12	5	state.n.02
13	5	relation.n.01
14	5	assets.n.01
15	4	object.n.01
16	4	structure.n.01
17	4	location.n.01
18	4	cognition.n.01
19	4	time_period.n.01
20	4	message.n.02
21	4	point.n.02
22	3	whole.n.02
23	3	group.n.01
24	3	region.n.03
25	3	content.n.05
26	3	act.v.01
27	3	statement.n.01
28	3	event.n.01
29	3	device.n.01
30	3	businessperson.n.01
31	3	social_group.n.01
32	3	writing.n.02
33	3	speech_act.n.01
34	3	organization.n.01
35	3	creation.n.02
36	2	entity.n.01
37	2	area.n.01
38	2	indefinite_quantity.n.01
39	2	small_indefinite_quantity.n.01
40	2	psychological_feature.n.01
41	2	idea.n.01
42	2	standard.n.01
43	2	end.v.02
44	2	end.n.02
45	2	symbol.n.01
46	2	evidence.n.02
47	2	definite_quantity.n.01
48	2	digit.n.01
49	2	skilled_worker.n.01
50	2	organism.n.01
51	2	region.n.01
52	2	way.n.06
53	2	communicate.v.02
54	2	inform.v.01
55	2	get.v.01
56	2	process.n.06
57	2	change.v.02
58	2	change_magnitude.v.01
59	2	increase.v.01
60	2	part.n.01
61	2	natural_phenomenon.n.01
62	2	physical_phenomenon.n.01
63	2	gregorian_calendar_month.n.01
64	2	inhabitant.n.01
65	2	think.v.03
66	2	evaluate.v.02
67	2	magnitude_relation.n.01
68	2	action.n.01
69	2	change.n.03
70	2	property.n.02
71	2	weekday.n.01
72	2	possession.n.02
73	2	evaluation.n.02
74	2	leader.n.01
75	2	group_action.n.01
76	2	commerce.n.01
77	2	writer.n.01
78	2	performer.n.01
79	2	gathering.n.01
80	2	vehicle.n.01
81	2	condition.n.01
82	2	sum.n.01
83	2	administrative_district.n.01
84	2	corporate_executive.n.01
85	2	musician.n.01
86	2	musician.n.02
87	2	composer.n.01
88	2	work.n.01
89	2	city.n.01
