#FILE:http://www.reuters.com//article/2015/06/19/us-markets-global-idUSKBN0OZ02L20150619
#Vertices 561
#Arcs 541
#MaxPath 18
#LeafN 196
Rank	Count	Synset
0	15	person.n.01
1	7	act.n.02
2	7	time_period.n.01
3	7	communication.n.02
4	6	abstraction.n.06
5	6	attribute.n.02
6	6	measure.n.02
7	5	physical_entity.n.01
8	5	activity.n.01
9	5	instrumentality.n.03
10	4	relation.n.01
11	4	state.n.02
12	4	monetary_unit.n.01
13	4	happening.n.01
14	3	location.n.01
15	3	region.n.03
16	3	standard.n.01
17	3	event.n.01
18	3	whole.n.02
19	3	organism.n.01
20	3	group_action.n.01
21	3	assets.n.01
22	3	change.v.01
23	3	inhabitant.n.01
24	3	indefinite_quantity.n.01
25	3	artifact.n.01
26	3	creation.n.02
27	3	group.n.01
28	3	commerce.n.01
29	3	organization.n.01
30	3	disease.n.01
31	3	message.n.02
32	3	information.n.01
33	2	entity.n.01
34	2	object.n.01
35	2	administrative_district.n.01
36	2	city.n.01
37	2	trait.n.01
38	2	psychological_feature.n.01
39	2	country.n.02
40	2	travel.v.01
41	2	indo-european.n.02
42	2	possession.n.02
43	2	transaction.n.01
44	2	end.v.02
45	2	definite_quantity.n.01
46	2	skilled_worker.n.01
47	2	serviceman.n.01
48	2	get.v.01
49	2	act.v.01
50	2	inform.v.01
51	2	capitalist.n.02
52	2	social_group.n.01
53	2	gathering.n.01
54	2	be.v.01
55	2	people.n.01
56	2	cognition.n.01
57	2	condition.n.01
58	2	thing.n.12
59	2	body_part.n.01
60	2	property.n.02
61	2	leader.n.01
62	2	process.n.06
63	2	natural_phenomenon.n.01
64	2	time.n.05
65	2	point.n.02
66	2	matter.n.03
67	2	material.n.01
68	2	commercial_enterprise.n.02
69	2	natural_process.n.01
70	2	evidence.n.02
71	2	shape.n.02
72	2	change.v.02
73	2	geographic_point.n.01
74	2	device.n.01
75	2	finance.n.01
76	2	written_symbol.n.01
77	2	change_magnitude.v.01
78	2	quality.n.01
79	2	compound.n.02
80	2	vertebrate.n.01
81	2	product.n.02
82	2	writing.n.02
83	2	article.n.01
84	1	area.n.01
85	1	center.n.01
86	1	seat.n.05
87	1	capital.n.03
88	1	national_capital.n.01
89	1	district.n.01
90	1	municipality.n.01
91	1	geographical_area.n.01
92	1	urban_area.n.01
93	1	nature.n.04
94	1	disposition.n.01
95	1	control.v.01
96	1	system_of_measurement.n.01
97	1	medium_of_exchange.n.01
98	1	fundamental_quantity.n.01
99	1	calendar_day.n.01
100	1	day_of_the_week.n.01
101	1	weekday.n.01
102	1	european_country.n.01
103	1	balkan_country.n.01
104	1	advance.v.01
105	1	causal_agent.n.01
106	1	living_thing.n.01
107	1	nonattendance.n.01
108	1	absence.n.02
109	1	nonaccomplishment.n.01
110	1	failure.n.01
111	1	loss.n.03
112	1	language.n.01
113	1	natural_language.n.01
114	1	plant.n.02
115	1	vascular_plant.n.01
116	1	woody_plant.n.01
117	1	shrub.n.01
118	1	day.n.04
119	1	auditory_communication.n.01
120	1	speech.n.02
121	1	discussion.n.02
122	1	obligation.n.02
123	1	indebtedness.n.01
124	1	unit_of_measurement.n.01
125	1	magnitude_relation.n.01
126	1	ratio.n.01
127	1	quotient.n.01
128	1	proportion.n.01
129	1	worker.n.01
130	1	military_officer.n.01
131	1	commissioned_officer.n.01
132	1	commissioned_military_officer.n.01
133	1	european.n.01
134	1	capital.n.01
135	1	obtain.v.01
136	1	part.n.01
137	1	interact.v.01
138	1	communicate.v.02
139	1	indicate.v.02
140	1	businessperson.n.01
141	1	merchant.n.01
142	1	express.v.02
143	1	representation.n.02
144	1	photograph.n.01
145	1	american.n.01
146	1	yankee.n.01
147	1	demeanor.n.01
