#FILE:http://www.reuters.com//article/2015/06/19/us-elliott-samsung-c-t-idUSKBN0OZ06Q20150619
#Vertices 485
#Arcs 465
#MaxPath 13
#LeafN 181
Rank	Count	Synset
0	14	person.n.01
1	12	activity.n.01
2	6	abstraction.n.06
3	5	physical_entity.n.01
4	5	act.n.02
5	5	communication.n.02
6	4	group.n.01
7	4	measure.n.02
8	4	artifact.n.01
9	4	speech_act.n.01
10	4	message.n.02
11	4	organization.n.01
12	4	attribute.n.02
13	4	assets.n.01
14	3	object.n.01
15	3	location.n.01
16	3	region.n.03
17	3	geographical_area.n.01
18	3	whole.n.02
19	3	social_group.n.01
20	3	time_period.n.01
21	3	idea.n.01
22	3	concept.n.01
23	3	event.n.01
24	3	group_action.n.01
25	3	property.n.02
26	3	substance.n.01
27	3	relation.n.01
28	3	change.n.03
29	3	change.v.02
30	3	instrumentality.n.03
31	3	creator.n.02
32	3	unit.n.03
33	3	writing.n.02
34	3	creation.n.02
35	2	entity.n.01
36	2	administrative_district.n.01
37	2	organism.n.01
38	2	state.v.01
39	2	psychological_feature.n.01
40	2	cognition.n.01
41	2	content.n.05
42	2	gregorian_calendar_month.n.01
43	2	structure.n.01
44	2	enterprise.n.02
45	2	action.n.01
46	2	body.n.02
47	2	information.n.02
48	2	matter.n.03
49	2	material.n.01
50	2	state.n.02
51	2	process.n.06
52	2	adult.n.01
53	2	professional.n.01
54	2	change_of_state.n.01
55	2	leader.n.01
56	2	operation.n.05
57	2	official.n.01
58	2	commerce.n.01
59	2	selling.n.01
60	2	workplace.n.01
61	2	body_part.n.01
62	2	happening.n.01
63	2	transfer.v.05
64	2	natural_phenomenon.n.01
65	2	writer.n.01
66	2	information.n.01
67	2	article.n.01
68	1	area.n.01
69	1	center.n.01
70	1	seat.n.05
71	1	capital.n.03
72	1	national_capital.n.01
73	1	district.n.01
74	1	municipality.n.01
75	1	city.n.01
76	1	urban_area.n.01
77	1	causal_agent.n.01
78	1	inhabitant.n.01
79	1	asian.n.01
80	1	living_thing.n.01
81	1	person_of_color.n.01
82	1	gathering.n.01
83	1	assembly.n.04
