#FILE:http://www.reuters.com//article/2015/06/19/us-health-mers-thailand-idUSKBN0OZ09M20150619
#Vertices 639
#Arcs 606
#MaxPath 15
#LeafN 262
Rank	Count	Synset
0	15	person.n.01
1	7	artifact.n.01
2	7	act.n.02
3	7	activity.n.01
4	6	abstraction.n.06
5	6	state.n.02
6	6	happening.n.01
7	6	group.n.01
8	6	organization.n.01
9	6	communication.n.02
10	5	physical_entity.n.01
11	5	relation.n.01
12	4	assets.n.01
13	3	object.n.01
14	3	location.n.01
15	3	region.n.03
16	3	administrative_district.n.01
17	3	geographical_area.n.01
18	3	geographic_point.n.01
19	3	measure.n.02
20	3	digit.n.01
21	3	whole.n.02
22	3	act.v.01
23	3	event.n.01
24	3	time_period.n.01
25	3	weekday.n.01
26	3	attribute.n.02
27	3	cognition.n.01
28	3	idea.n.01
29	3	concept.n.01
30	3	travel.v.01
31	3	modifier.n.01
32	3	message.n.02
33	3	action.n.01
34	3	workplace.n.01
35	3	matter.n.03
36	3	country.n.02
37	3	information.n.01
38	3	condition.n.01
39	3	region.n.01
40	3	asian_country.n.01
41	3	instrumentality.n.03
42	3	creation.n.02
43	2	entity.n.01
44	2	point.n.02
45	2	number.n.02
46	2	integer.n.01
47	2	interact.v.01
48	2	psychological_feature.n.01
49	2	work.n.01
50	2	rank.n.02
51	2	position.n.07
52	2	content.n.05
53	2	whole.n.01
54	2	social_group.n.01
55	2	causal_agent.n.01
56	2	organism.n.01
57	2	care.n.01
58	2	evaluate.v.02
59	2	part.n.01
60	2	land.n.04
61	2	peninsula.n.01
62	2	accomplishment.n.01
63	2	structure.n.01
64	2	building.n.01
65	2	common_fraction.n.01
66	2	adult.n.01
67	2	skilled_worker.n.01
68	2	serviceman.n.01
69	2	inform.v.01
70	2	thing.n.12
71	2	body_part.n.01
72	2	possession.n.02
73	2	record.n.01
74	2	asian.n.01
75	2	traveler.n.01
76	2	transaction.n.01
77	2	commercial_enterprise.n.02
78	2	quality.n.01
79	2	substance.n.01
80	2	male.n.02
81	2	physical_condition.n.01
82	2	ill_health.n.01
83	2	process.n.06
84	2	covering.n.02
85	2	communicator.n.01
86	2	speech_act.n.01
87	2	informing.n.02
88	2	attach.v.01
89	2	feeling.n.01
90	2	mark.n.10
91	2	property.n.02
92	2	change.v.01
93	2	unit.n.03
94	2	analyze.v.01
95	2	leader.n.01
96	2	change_magnitude.v.01
97	2	natural_phenomenon.n.01
98	2	end.v.02
99	2	move.v.02
100	2	device.n.01
