#FILE:http://www.reuters.com//article/2015/06/19/us-massachusetts-police-idUSKBN0OZ14020150619
#Vertices 468
#Arcs 446
#MaxPath 13
#LeafN 160
Rank	Count	Synset
0	13	person.n.01
1	9	activity.n.01
2	6	abstraction.n.06
3	6	act.n.02
4	5	physical_entity.n.01
5	5	measure.n.02
6	5	communication.n.02
7	4	group.n.01
8	4	organization.n.01
9	4	state.n.02
10	4	message.n.02
11	3	location.n.01
12	3	region.n.03
13	3	administrative_district.n.01
14	3	country.n.02
15	3	social_group.n.01
16	3	content.n.05
17	3	time_period.n.01
18	3	event.n.01
19	3	group_action.n.01
20	3	whole.n.02
21	3	attribute.n.02
22	3	act.v.01
23	3	indefinite_quantity.n.01
24	3	artifact.n.01
25	3	creation.n.02
26	2	entity.n.01
27	2	object.n.01
28	2	geographical_area.n.01
29	2	number.n.02
30	2	force.n.04
31	2	psychological_feature.n.01
32	2	idea.n.01
33	2	think.v.03
34	2	american_state.n.01
35	2	status.n.01
36	2	writer.n.01
37	2	gregorian_calendar_month.n.01
38	2	skilled_worker.n.01
39	2	speech_act.n.01
40	2	substance.n.01
41	2	relation.n.01
42	2	part.n.01
43	2	change.n.03
44	2	region.n.01
45	2	evaluate.v.02
46	2	official.n.01
47	2	family.n.04
48	2	inhabitant.n.01
49	2	make.v.03
50	2	religious_person.n.01
51	2	communicate.v.02
52	2	happening.n.01
53	2	quality.n.01
54	2	asian_country.n.01
55	2	publication.n.01
56	2	possession.n.02
57	2	writing.n.02
58	2	information.n.01
59	2	article.n.01
60	2	assets.n.01
61	2	instrumentality.n.03
62	1	area.n.01
63	1	center.n.01
64	1	seat.n.05
65	1	capital.n.03
66	1	state_capital.n.01
67	1	district.n.01
68	1	municipality.n.01
69	1	city.n.01
70	1	urban_area.n.01
71	1	definite_quantity.n.01
72	1	integer.n.01
73	1	digit.n.01
74	1	european_country.n.01
75	1	cognition.n.01
76	1	concept.n.01
77	1	abstraction.n.01
78	1	right.n.01
79	1	gathering.n.01
80	1	assembly.n.04
81	1	fundamental_quantity.n.01
82	1	calendar_day.n.01
83	1	day_of_the_week.n.01
84	1	weekday.n.01
85	1	due_process.n.01
86	1	proceeding.n.01
87	1	connect.v.01
88	1	attach.v.01
89	1	fasten.v.01
90	1	operation.n.05
91	1	attack.n.01
92	1	plan.v.02
93	1	causal_agent.n.01
94	1	disputant.n.01
95	1	reformer.n.01
96	1	living_thing.n.01
97	1	organism.n.01
98	1	state.n.01
99	1	social_control.n.01
100	1	punishment.n.01
101	1	corporal_punishment.n.01
102	1	execution.n.01
103	1	unit.n.03
104	1	administrative_unit.n.01
105	1	agency.n.01
106	1	law_enforcement_agency.n.01
107	1	leader.n.01
108	1	spiritual_leader.n.01
109	1	clergyman.n.01
110	1	priest.n.01
111	1	bishop.n.01
112	1	holy_order.n.01
113	1	belief.n.01
114	1	spiritual_being.n.01
115	1	deity.n.01
116	1	saint.n.01
117	1	be.v.01
118	1	relationship.n.03
119	1	subjugation.n.01
120	1	confinement.n.03
121	1	communicator.n.01
122	1	take.v.04
123	1	seize.v.01
124	1	calendar_month.n.01
125	1	time_unit.n.01
126	1	worker.n.01
127	1	serviceman.n.01
128	1	propulsion.n.02
129	1	people.n.01
130	1	complex_number.n.01
131	1	real_number.n.01
