#FILE:http://www.reuters.com//article/2015/06/18/us-usa-trade-rule-idUSKBN0OY21920150618
#Vertices 706
#Arcs 670
#MaxPath 15
#LeafN 280
Rank	Count	Synset
0	18	person.n.01
1	11	activity.n.01
2	8	act.n.02
3	6	artifact.n.01
4	6	abstraction.n.06
5	6	measure.n.02
6	6	leader.n.01
7	6	communication.n.02
8	5	physical_entity.n.01
9	5	action.n.01
10	5	change.v.01
11	5	happening.n.01
12	5	condition.n.01
13	5	instrumentality.n.03
14	4	object.n.01
15	4	location.n.01
16	4	structure.n.01
17	4	time_period.n.01
18	4	event.n.01
19	4	group.n.01
20	4	attribute.n.02
21	4	organization.n.01
22	4	body_part.n.01
23	4	cognition.n.01
24	4	content.n.05
25	4	quality.n.01
26	4	state.n.02
27	4	possession.n.02
28	4	digit.n.01
29	3	region.n.03
30	3	whole.n.02
31	3	communicator.n.01
32	3	relation.n.01
33	3	act.v.01
34	3	writing.n.02
35	3	article.n.01
36	3	creation.n.02
37	3	information.n.01
38	2	entity.n.01
39	2	area.n.01
40	2	seat.n.05
41	2	geographical_area.n.01
42	2	organism.n.01
43	2	change.v.02
44	2	psychological_feature.n.01
45	2	aid.n.02
46	2	collection.n.01
47	2	point.n.02
48	2	workplace.n.01
49	2	group_action.n.01
50	2	transaction.n.01
51	2	commerce.n.01
52	2	thing.n.12
53	2	shape.n.02
54	2	social_group.n.01
55	2	choice.n.02
56	2	think.v.03
57	2	land.n.04
58	2	idea.n.01
59	2	concept.n.01
60	2	change_of_location.n.01
61	2	move.v.02
62	2	state.v.01
63	2	power.n.01
64	2	property.n.02
65	2	magnitude_relation.n.01
66	2	belief.n.01
67	2	decrease.v.02
68	2	higher_cognitive_process.n.01
69	2	thinking.n.01
70	2	gathering.n.01
71	2	legislature.n.01
72	2	deity.n.01
73	2	politician.n.02
74	2	ill_health.n.01
75	2	disease.n.01
76	2	communicate.v.02
77	2	feeling.n.01
78	2	cognitive_state.n.01
79	2	people.n.01
80	2	transferred_property.n.01
81	2	natural_phenomenon.n.01
82	2	document.n.01
83	2	integer.n.01
84	2	matter.n.03
85	2	food.n.02
86	2	vegetable.n.01
87	2	emotion.n.01
88	2	payment.n.01
89	2	accomplishment.n.01
