category	#files	leaves	maxpaths	V	E
adventure	29	609.482759	16.379310	1243.413793	1133.241379	
belles_lettres	75	649.960000	15.973333	1254.706667	1137.626667	
editorial	27	708.555556	16.555556	1347.185185	1233.925926	
fiction	29	629.896552	15.620690	1294.172414	1193.517241	
government	30	563.300000	15.800000	998.066667	900.633333	
hobbies	36	617.694444	16.305556	1164.527778	1067.388889	
humor	9	698.111111	15.444444	1411.444444	1291.444444	
learned	80	554.087500	15.737500	1004.175000	890.525000	
lore	48	645.270833	16.375000	1228.104167	1116.166667	
mystery	24	575.083333	15.416667	1181.708333	1081.375000	
news	44	669.090909	16.227273	1299.545455	1217.068182	
religion	17	612.882353	16.352941	1146.235294	1032.588235	
reviews	17	768.882353	16.000000	1460.470588	1331.470588	
romance	29	586.448276	15.551724	1215.620690	1115.137931	
science_fiction	6	631.333333	15.000000	1235.000000	1110.666667	
