#FILE:fiction-ck06
#Vertices 1561
#Arcs 1460
#MaxPath 16
#LeafN 752
Rank	Count	Synset
0	35	person.n.01
1	16	artifact.n.01
2	14	move.v.03
3	14	travel.v.01
4	14	structure.n.01
5	11	state.n.02
6	10	change.v.02
7	9	happening.n.01
8	8	act.n.02
9	8	instrumentality.n.03
10	8	time_period.n.01
11	8	activity.n.01
12	7	communication.n.02
13	7	property.n.02
14	7	measure.n.02
15	7	body_part.n.01
16	7	move.v.02
17	7	natural_object.n.01
18	7	communicate.v.02
19	6	abstraction.n.06
20	6	location.n.01
21	6	act.v.01
22	6	organization.n.01
23	5	physical_entity.n.01
24	5	object.n.01
25	5	attribute.n.02
26	5	external_body_part.n.01
27	5	material.n.01
28	5	inform.v.01
29	5	sound.n.04
30	5	region.n.01
31	5	digit.n.01
32	5	change_state.v.01
33	5	sound.v.02
34	5	social_group.n.01
35	4	emotion.n.01
36	4	animal.n.01
37	4	point.n.02
38	4	cognition.n.01
39	4	matter.n.03
40	4	device.n.01
41	4	walk.v.01
42	4	relative.n.01
43	4	building.n.01
44	4	change.v.01
45	4	covering.n.02
46	4	large_integer.n.01
47	4	clothing.n.01
48	4	body_of_water.n.01
49	3	message.n.02
50	3	causal_agent.n.01
51	3	whole.n.02
52	3	organism.n.01
53	3	male.n.02
54	3	event.n.01
55	3	feeling.n.01
56	3	thing.n.12
57	3	equipment.n.01
58	3	auditory_communication.n.01
59	3	motion.n.06
60	3	extremity.n.05
61	3	content.n.05
62	3	belief.n.01
63	3	spiritual_being.n.01
64	3	substance.n.01
65	3	region.n.03
66	3	area.n.01
67	3	be.v.01
68	3	instrument.n.01
69	3	room.n.01
70	3	change_shape.v.01
71	3	imagination.n.01
72	3	container.n.01
73	3	worker.n.01
74	3	writing.n.02
75	3	physical_property.n.01
76	3	group.n.01
77	3	line.n.11
78	3	natural_phenomenon.n.01
79	3	physical_phenomenon.n.01
80	3	atmospheric_phenomenon.n.01
81	3	weather.n.01
82	3	vascular_plant.n.01
83	3	chromatic_color.n.01
84	3	concept.n.01
85	3	communicator.n.01
86	3	group_action.n.01
87	3	administrative_district.n.01
88	3	geographical_area.n.01
89	3	shape.n.02
90	3	geographic_point.n.01
91	3	geological_formation.n.01
92	3	people.n.01
93	3	actor.n.01
94	3	leader.n.01
95	3	work.n.01
96	3	social_control.n.01
97	3	quality.n.01
98	3	woman.n.01
99	3	musical_instrument.n.01
100	2	entity.n.01
101	2	adult.n.01
102	2	psychological_feature.n.01
103	2	strength.n.01
104	2	definite_quantity.n.01
105	2	number.n.02
106	2	common_fraction.n.01
107	2	utter.v.02
108	2	point.n.06
109	2	vertebrate.n.01
110	2	placental.n.01
111	2	horse.n.01
112	2	traveler.n.01
113	2	representation.n.02
114	2	extremity.n.01
115	2	prevent.v.01
116	2	descend.v.01
117	2	look.v.01
118	2	pull.v.01
119	2	higher_cognitive_process.n.01
120	2	knowing.n.01
121	2	speech.n.02
122	2	action.n.01
123	2	change.n.03
124	2	degree.n.01
125	2	motion.n.03
126	2	covering.n.01
127	2	deity.n.01
128	2	utterance.n.01
129	2	soil.n.02
130	2	relation.n.01
131	2	part.n.01
132	2	vertebrate_foot.n.01
133	2	visual_communication.n.01
134	2	organ.n.01
135	2	conveyance.n.03
136	2	make.v.03
137	2	weapon.n.01
138	2	condition.n.01
139	2	ill_health.n.01
140	2	parent.n.01
141	2	surface.n.01
142	2	horizontal_surface.n.01
143	2	platform.n.01
144	2	area.n.05
145	2	be.v.03
146	2	process.n.06
147	2	phenomenon.n.01
148	2	wheeled_vehicle.n.01
149	2	turn.v.01
150	2	indefinite_quantity.n.01
151	2	music.n.01
152	2	integer.n.01
153	2	affect.v.05
154	2	plate_glass.n.01
155	2	fundamental_quantity.n.01
156	2	evaluate.v.02
157	2	action.n.02
158	2	framework.n.03
159	2	plant_material.n.01
160	2	time.n.05
161	2	wind.n.01
162	2	see.v.05
163	2	block.n.01
164	2	protective_covering.n.01
165	2	institution.n.01
166	2	color.n.01
167	2	building_material.n.01
168	2	idea.n.01
169	2	kind.n.01
170	2	tower.n.01
171	2	writer.n.01
172	2	being.n.01
173	2	municipality.n.01
174	2	end.n.02
175	2	gregorian_calendar_month.n.01
176	2	title.n.06
177	2	calendar_day.n.01
178	2	anniversary.n.01
179	2	way.n.06
180	2	road.n.01
181	2	plant_organ.n.01
182	2	polygon.n.01
183	2	bend.v.01
184	2	commodity.n.01
185	2	look.v.02
186	2	fluid.n.02
187	2	gas.n.02
188	2	natural_elevation.n.01
189	2	better.v.02
190	2	christian.n.01
191	2	saint.n.01
192	2	day.n.04
193	2	tract.n.01
194	2	stream.n.01
195	2	river.n.01
196	2	information.n.02
197	2	hide.v.01
198	2	reflex.n.01
199	2	natural_depression.n.01
200	2	performer.n.01
201	2	wrongdoer.n.01
