#FILE:government-ch21
#Vertices 1065
#Arcs 944
#MaxPath 16
#LeafN 609
Rank	Count	Synset
0	18	person.n.01
1	11	activity.n.01
2	10	act.n.02
3	8	happening.n.01
4	8	communication.n.02
5	7	cognition.n.01
6	7	quality.n.01
7	7	measure.n.02
8	7	state.n.02
9	7	property.n.02
10	6	abstraction.n.06
11	6	attribute.n.02
12	6	time_period.n.01
13	6	artifact.n.01
14	6	instrumentality.n.03
15	5	content.n.05
16	5	organization.n.01
17	5	digit.n.01
18	5	physical_entity.n.01
19	5	concept.n.01
20	5	relation.n.01
21	5	move.v.02
22	5	indefinite_quantity.n.01
23	5	collection.n.01
24	5	travel.v.01
25	4	group.n.01
26	4	change.v.02
27	4	event.n.01
28	4	change_of_state.n.01
29	4	time.n.05
30	4	group_action.n.01
31	4	work.n.01
32	4	location.n.01
33	4	whole.n.02
34	4	large_integer.n.01
35	4	vehicle.n.01
36	4	motion.n.06
37	4	change.v.01
38	4	possession.n.02
39	4	think.v.03
40	4	evaluate.v.02
41	4	statement.n.01
42	4	make.v.03
43	4	military_vehicle.n.01
44	3	psychological_feature.n.01
45	3	idea.n.01
46	3	force.n.04
47	3	power.n.01
48	3	action.n.01
49	3	change.n.03
50	3	change.n.01
51	3	status.n.01
52	3	military_action.n.01
53	3	thing.n.12
54	3	gregorian_calendar_month.n.01
55	3	object.n.01
56	3	causal_agent.n.01
57	3	serviceman.n.01
58	3	act.v.01
59	3	adult.n.01
60	3	matter.n.03
61	3	unit.n.03
62	3	trait.n.01
63	3	assets.n.01
64	3	body_of_water.n.01
65	3	process.n.06
66	3	social_control.n.01
67	3	administrative_unit.n.01
68	3	declare.v.01
69	3	magnitude.n.01
70	3	condition.n.01
71	3	occupation.n.01
72	3	time_unit.n.01
73	3	improvement.n.02
74	3	part.n.01
75	3	structure.n.01
76	3	self-propelled_vehicle.n.01
77	3	star.n.01
78	3	airplane.n.01
79	3	planet.n.01
80	2	entity.n.01
81	2	discipline.n.01
82	2	social_group.n.01
83	2	definite_quantity.n.01
84	2	number.n.02
85	2	integer.n.01
86	2	kind.n.01
87	2	compel.v.01
88	2	region.n.03
89	2	administrative_district.n.01
90	2	conveyance.n.03
91	2	worker.n.01
