#FILE:humor-cr02
#Vertices 1399
#Arcs 1287
#MaxPath 17
#LeafN 660
Rank	Count	Synset
0	29	person.n.01
1	14	artifact.n.01
2	9	state.n.02
3	9	change.v.02
4	9	act.n.02
5	9	activity.n.01
6	8	condition.n.01
7	8	instrumentality.n.03
8	8	property.n.02
9	7	measure.n.02
10	7	material.n.01
11	7	time_period.n.01
12	6	abstraction.n.06
13	6	feeling.n.01
14	6	change.v.01
15	6	cognition.n.01
16	6	communication.n.02
17	6	message.n.02
18	6	happening.n.01
19	6	body_part.n.01
20	6	structure.n.01
21	5	act.v.01
22	5	attribute.n.02
23	5	physical_entity.n.01
24	5	object.n.01
25	5	evaluate.v.02
26	5	work.n.01
27	5	emotion.n.01
28	4	group.n.01
29	4	social_group.n.01
30	4	gathering.n.01
31	4	whole.n.02
32	4	container.n.01
33	4	event.n.01
34	4	communicate.v.02
35	4	causal_agent.n.01
36	4	action.n.01
37	4	basic_cognitive_process.n.01
38	4	organization.n.01
39	4	group_action.n.01
40	4	relative.n.01
41	4	geographical_area.n.01
42	4	administrative_district.n.01
43	4	matter.n.03
44	4	possession.n.02
45	4	content.n.05
46	4	concept.n.01
47	4	foodstuff.n.02
48	4	nutriment.n.01
49	4	publication.n.01
50	4	fabric.n.01
51	4	leader.n.01
52	4	assets.n.01
53	3	make.v.03
54	3	collection.n.01
55	3	change.n.03
56	3	motion.n.06
57	3	perception.n.03
58	3	woman.n.01
59	3	organism.n.01
60	3	higher_cognitive_process.n.01
61	3	knowing.n.01
62	3	change_state.v.01
63	3	location.n.01
64	3	region.n.03
65	3	sound.n.04
66	3	thing.n.12
67	3	indefinite_quantity.n.01
68	3	substance.n.01
69	3	auditory_communication.n.01
70	3	process.n.06
71	3	food.n.01
72	3	be.v.01
73	3	move.v.02
74	3	creator.n.02
75	3	digit.n.01
76	3	meal.n.01
77	3	vascular_plant.n.01
78	3	herb.n.01
79	3	clothing.n.01
80	3	covering.n.02
81	3	american_state.n.01
82	3	placental.n.01
83	3	give.v.03
84	3	area.n.01
85	3	get.v.01
