#FILE:science_fiction-cm06
#Vertices 1102
#Arcs 981
#MaxPath 14
#LeafN 557
Rank	Count	Synset
0	17	person.n.01
1	11	body_part.n.01
2	10	artifact.n.01
3	9	time_period.n.01
4	8	measure.n.02
5	7	happening.n.01
6	7	content.n.05
7	7	feeling.n.01
8	6	communicate.v.02
9	6	abstraction.n.06
10	6	cognition.n.01
11	6	natural_object.n.01
12	6	act.n.02
13	6	activity.n.01
14	6	attribute.n.02
15	6	condition.n.01
16	6	communication.n.02
17	5	physical_entity.n.01
18	5	talk.v.02
19	5	location.n.01
20	5	external_body_part.n.01
21	5	group.n.01
22	5	material.n.01
23	5	state.n.02
24	5	instrumentality.n.03
25	5	group_action.n.01
26	5	digit.n.01
27	5	change.v.01
28	5	be.v.01
29	5	message.n.02
30	5	property.n.02
31	4	object.n.01
32	4	structure.n.01
33	4	act.v.01
34	4	relation.n.01
35	4	event.n.01
36	4	move.v.03
37	4	quality.n.01
38	4	travel.v.01
39	4	move.v.02
40	4	change.v.02
41	3	whole.n.02
42	3	causal_agent.n.01
43	3	organism.n.01
44	3	convey.v.01
45	3	adult.n.01
46	3	male.n.02
47	3	region.n.03
48	3	geographical_area.n.01
49	3	possession.n.02
50	3	people.n.01
51	3	clothing.n.01
52	3	auditory_communication.n.01
53	3	device.n.01
54	3	organization.n.01
55	3	information.n.02
56	3	number.n.02
57	3	area.n.01
58	3	speech.n.02
59	3	emotion.n.01
60	3	consume.v.02
61	3	large_integer.n.01
62	3	creation.n.02
63	3	tract.n.01
64	3	point.n.02
65	3	psychological_state.n.01
66	3	animal_tissue.n.01
67	3	writing.n.02
68	3	geological_formation.n.01
69	3	property.n.01
70	3	region.n.01
71	3	unfortunate.n.01
72	3	container.n.01
73	2	entity.n.01
74	2	interact.v.01
75	2	psychological_feature.n.01
76	2	process.n.02
77	2	higher_cognitive_process.n.01
78	2	knowing.n.01
79	2	tell.v.02
80	2	state.v.01
81	2	administrative_district.n.01
82	2	relative.n.01
83	2	relative_quantity.n.01
84	2	assets.n.01
85	2	extremity.n.01
86	2	limb.n.01
87	2	action.n.01
88	2	accomplishment.n.01
89	2	advantage.n.01
90	2	walk.v.01
91	2	matter.n.03
92	2	substance.n.01
93	2	part.n.01
94	2	physical_condition.n.01
95	2	ill_health.n.01
96	2	injury.n.01
97	2	woman.n.01
98	2	support.n.10
99	2	process.n.06
100	2	organic_process.n.01
101	2	fundamental_quantity.n.01
102	2	basic_cognitive_process.n.01
103	2	perception.n.03
104	2	social_group.n.01
105	2	idea.n.01
106	2	datum.n.01
107	2	definite_quantity.n.01
108	2	integer.n.01
109	2	substance.n.07
110	2	request.v.01
111	2	celestial_body.n.01
112	2	worker.n.01
113	2	skilled_worker.n.01
114	2	official.n.01
115	2	kind.n.01
116	2	be.v.03
117	2	accept.v.01
118	2	organ.n.01
119	2	awareness.n.01
120	2	implement.n.01
121	2	aid.n.02
122	2	utterance.n.01
123	2	change.n.03
124	2	motion.n.03
125	2	body_covering.n.01
126	2	cognitive_state.n.01
127	2	astonishment.n.01
128	2	belief.n.01
129	2	work.n.01
130	2	time_interval.n.01
131	2	written_communication.n.01
132	2	legal_document.n.01
133	2	indefinite_quantity.n.01
134	2	speech_act.n.01
135	2	structure.n.04
136	2	product.n.02
137	2	touch.v.01
138	2	visual_communication.n.01
